T,NPV,Status,Solve_Time,Demand_Sum,Demand_Mean,Demand_Std
1,-544426.2318131407,optimal,0.14989399909973145,28.621182172158772,14.310591086079386,1.0879853104389579
2,-891287.4266109224,optimal,0.06055808067321777,49.606284457424536,16.535428152474847,3.2693946383341776
3,-1159852.1432196677,optimal,0.05456876754760742,83.67633592329618,20.919083980824045,8.103457363381134
4,-1299334.4510464934,optimal,0.05919027328491211,122.59944225250426,24.51988845050085,10.217435505423396
5,-1294158.6627208763,optimal,0.052043914794921875,167.06703521910504,27.84450586985084,11.927366090136264
6,-1490368.6905215392,optimal,0.05468440055847168,240.077533219296,34.29679045989943,19.28032076344719
7,-1884012.7853125734,optimal,0.05208730697631836,341.9875448391516,42.74844310489395,28.727642605515634
8,-2024948.5240039201,optimal,0.05757617950439453,453.0613962021203,50.34015513356891,34.56374816875419
9,-2105940.6969545903,optimal,0.061617374420166016,601.2828279947219,60.12828279947219,44.01652425580581
10,-2113450.0625398615,optimal,0.061498403549194336,763.0282738983068,69.36620671802788,51.13427981249867
11,-1921557.6622093767,optimal,0.059285879135131836,939.4500930244783,78.28750775203984,57.2040857324174
12,-1842856.8581257071,optimal,0.06135249137878418,1161.1379363952672,89.31830279963593,66.93827560773609
13,-1412504.2377672363,optimal,0.05789494514465332,1342.1591510612168,95.8685107900869,68.69096246236816
14,-1144704.4561648723,optimal,0.06651973724365234,1495.6484216276247,99.70989477517496,67.9004590212652
15,-774057.1771656964,optimal,0.06076669692993164,1659.862865808434,103.74142911302712,67.57304825965431
16,-452727.95508030057,optimal,0.07235002517700195,1820.4131091291197,107.0831240664188,66.90435370585101
17,-299009.54561484605,optimal,0.058411598205566406,2025.0948732042837,112.50527073357131,68.75543358426063
18,-125530.93610643782,optimal,0.06252288818359375,2229.448424323892,117.33939075388906,69.9938623817908
19,154486.82790391147,optimal,0.05961871147155762,2413.900715794423,120.69503578972115,69.77198901485181
20,87582.46467366442,optimal,0.06794118881225586,2709.948419057277,129.0451628122513,77.65827155667479
21,-15382.725503031164,optimal,0.06612086296081543,3048.733301506987,138.5787864321358,87.55209369102677
22,-43904.88136171922,optimal,0.06873559951782227,3459.8474797466865,150.42815129333422,102.08357379800991
23,210357.78758416325,optimal,0.06879878044128418,3830.0022975466204,159.58342906444253,109.15440864018251
24,490516.2091427259,optimal,0.0678853988647461,4227.442623605946,169.09770494423785,116.66452854646506
25,605781.5143869855,optimal,0.0727534294128418,4713.938934013427,181.305343615901,129.6641360746842
26,799147.4078187421,optimal,0.08776593208312988,5176.616589034011,191.72654033459298,137.89027229148311
27,892012.5883883275,optimal,0.0791938304901123,5773.767704341543,206.2059894407694,154.90427870289508
28,964344.7400955558,optimal,0.06917715072631836,6407.7635918563465,220.95736523642574,171.0578751666265
29,1105317.2166751549,optimal,0.08132147789001465,7123.780454518769,237.45934848395896,190.2172044004554
30,1293629.7414965779,optimal,0.06696033477783203,7883.813866495984,254.31657633858015,208.66333799149749
31,989956.414763432,optimal,0.07407975196838379,9201.74443250171,287.5545135156784,276.45492576326933
32,549065.3756386563,optimal,0.06576871871948242,10775.340215764947,326.5254610837863,350.3010969766711
33,712009.9984706417,optimal,0.06455016136169434,12300.075975319645,361.7669404505778,400.1080570138692
34,727796.5196079724,optimal,0.07130622863769531,14451.9306400524,412.91230400149715,494.42026429088384
35,900787.3839590624,optimal,0.07137298583984375,16470.040529436086,457.50112581766905,554.2984640254195
36,1069932.2568256557,optimal,0.06588554382324219,18989.222147519296,513.2222202032242,640.8721190234553
37,1631510.2809139788,optimal,0.07258486747741699,21027.285600564526,553.3496210674875,677.8542881927663
38,2034672.741687812,optimal,0.07256078720092773,22898.079450553436,587.1302423218831,700.7622183610118
39,2357030.6426659822,optimal,0.07491803169250488,25227.76920629163,630.6942301572906,743.5092567843448
40,2263016.5235863775,optimal,0.07598090171813965,28460.827154857834,694.1665159721422,836.9421629071898
41,1991273.7537215725,optimal,0.0747365951538086,32466.461991199285,773.0109997904592,968.8492311393584
42,1888714.8215635866,optimal,0.0756978988647461,37152.42957516704,864.0099901201638,1124.5592945975216
43,1996621.812502481,optimal,0.07051682472229004,42434.67714532453,964.4244805755575,1292.07737368732
44,2585437.5823882595,optimal,0.08958244323730469,47139.77836131015,1047.5506302513365,1391.5469228069685
45,3159365.196698688,optimal,0.08568215370178223,52017.501024474244,1130.8152396624835,1485.3591847137334
46,3571423.0570228696,optimal,0.08595776557922363,57343.235806790624,1220.068846952992,1589.2749987529962
47,3408992.275049798,optimal,0.0828087329864502,65220.45647527866,1358.7595099016387,1837.7225012315496
48,2914906.107500285,optimal,0.09291481971740723,75322.10663369308,1537.1858496672057,2199.1878208994876
49,3305024.0095343664,optimal,0.08612751960754395,83822.31571887562,1676.4463143775124,2385.367666565467
50,3557028.803310916,optimal,0.08825802803039551,94680.37456772522,1856.4779327004944,2683.091476390249
