T,NPV,Status,Solve_Time
1,-544426.2318131407,optimal,0.016508817672729492
2,-1092642.990485666,optimal,0.006971836090087891
3,-1134632.1366975796,optimal,0.006812095642089844
4,-772571.6703190339,optimal,0.007491111755371094
5,-431302.8629212619,optimal,0.008352041244506836
6,-819847.1938943991,optimal,0.007253885269165039
7,-953647.8430850161,optimal,0.008229970932006836
8,-570062.8924914759,optimal,0.007542133331298828
9,-511691.53196672234,optimal,0.007691144943237305
10,-817871.5377820143,optimal,0.008120059967041016
11,-2269199.407627891,optimal,0.008812189102172852
12,-821990.2082576007,optimal,0.008356094360351562
13,-363248.9650444798,optimal,0.007919788360595703
14,-1776075.1837369427,optimal,0.008599996566772461
15,-539092.756309906,optimal,0.009014129638671875
16,-1192423.303635629,optimal,0.008869171142578125
17,-3660959.023211669,optimal,0.009037017822265625
18,-2314752.630117394,optimal,0.009394168853759766
19,-1028418.6110803038,optimal,0.00921177864074707
20,-2225112.8741158545,optimal,0.009755134582519531
21,-1109932.065799879,optimal,0.009209156036376953
22,-1097346.3977601416,optimal,0.010368824005126953
23,-2558596.8619179875,optimal,0.010091781616210938
24,-8903060.134121418,optimal,0.010330915451049805
25,718142.8495275173,optimal,0.01026296615600586
26,-13828851.812806651,optimal,0.010609865188598633
27,-1199505.4726790972,optimal,0.011846065521240234
28,-5793933.460771009,optimal,0.010448932647705078
29,33251.116892179474,optimal,0.010388851165771484
30,-3782605.141026698,optimal,0.010904788970947266
31,313861.12772156857,optimal,0.012449026107788086
32,-548493.045968499,optimal,0.010991096496582031
33,-3624974.9813577384,optimal,0.010960817337036133
34,-22132698.075185686,optimal,0.012586116790771484
35,-273367.4056113325,optimal,0.012054204940795898
36,-2683238.403285563,optimal,0.011879205703735352
37,-3789059.8674286082,optimal,0.011731863021850586
38,-3334177.2930823565,optimal,0.012285947799682617
39,-9471346.24088429,optimal,0.013432979583740234
40,-7808290.618419439,optimal,0.013049840927124023
41,-269920182.8814235,optimal,0.012134790420532227
42,-12030275.700409055,optimal,0.014272212982177734
43,-1760006.4264783263,optimal,0.013005256652832031
44,-46779065.09015608,optimal,0.013501167297363281
45,-2053481.5861992836,optimal,0.01331186294555664
46,-175251798.06687784,optimal,0.03700900077819824
47,-66599605.99946076,optimal,0.01323080062866211
48,-2647272.03241805,optimal,0.013765335083007812
49,-1448047.038658619,optimal,0.014554977416992188
50,-17090576.952082574,optimal,0.013918876647949219
