仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,14741939.893643253,6417.7635918563465,5665.249881286268,102.81425844422075,0.5574135732446753,0.8827451806537465,959.6433028153831,5
2,20129079.486772634,15972.883916594332,12194.341851432364,332.26297094660765,0.39949817818121763,0.763440209990106,3318.913184310714,5
3,9569122.036163358,5104.797720619612,4390.5909627212595,59.350308461493015,0.47555625403771234,0.8600910756926793,795.5115356823632,5
4,4345133.952161066,1835.196150714752,1469.6687464729268,30.467310626621305,0.5441456775649158,0.8008237952659918,285.909426957835,5
5,21655948.566198334,12290.977642402679,10351.630930699583,321.49269119623733,0.470551006048065,0.8422137955069955,1567.778011523873,4
6,16706571.422888454,9237.24615882446,8274.083272519847,109.66947953733379,0.4540794767149728,0.8957305164608511,1871.360933273593,6
7,16178741.51442069,12107.810591732243,9828.96403468345,190.8415845416169,0.3831362915074124,0.8117870658957209,2252.798238502156,5
8,22339420.250737563,14033.761590574712,11791.739233410513,51.300953053298144,0.41601330329400926,0.8402408119381211,2319.8642621302133,5
9,18338039.585072044,15752.26954996141,12289.232654687297,112.10403750737431,0.36942713280412487,0.7801563206945887,3692.580701033767,6
10,13522474.48844915,13154.376714553073,9600.690982027518,848.8632531544786,0.3550037838699108,0.729847653777924,3497.0457609879277,6
