仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,14661098.487286422,6417.7635918563465,5672.379476141113,121.38822820043166,0.4288866932473115,0.8838560964350464,963.060361360034,3
2,20654295.446834587,15972.883916594332,12546.934660032934,62.735905082692554,0.3268187854959084,0.7855146713360787,4201.3622160083405,4
3,9404308.120018799,5104.797720619612,4408.854116190684,55.92473210744113,0.3859321125893912,0.8636687205806746,1197.5162408355593,4
4,4311309.819612326,1835.196150714752,1463.042439780417,44.710444975786416,0.4738464579275155,0.797213114909056,286.9274815282325,3
5,22120804.112464517,12290.977642402679,10521.92363674685,231.57315794802957,0.37013807743351257,0.8560688940192386,1925.791990198298,3
