仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,14661098.487286422,6417.7635918563465,5672.379476141113,121.38822820043166,0.4288866932473115,0.8838560964350464,963.060361360034,3
2,20654295.446834587,15972.883916594332,12546.934660032934,62.735905082692554,0.3268187854959084,0.7855146713360787,4201.3622160083405,4
3,9404308.120018799,5104.797720619612,4408.854116190684,55.92473210744113,0.3859321125893912,0.8636687205806746,1197.5162408355593,4
4,4311309.819612326,1835.196150714752,1463.042439780417,44.710444975786416,0.4738464579275155,0.797213114909056,286.9274815282325,3
5,22120804.112464517,12290.977642402679,10521.92363674685,231.57315794802957,0.37013807743351257,0.8560688940192386,1925.791990198298,3
6,16602713.470480839,9237.24615882446,8274.083272519847,137.08684942166724,0.38044813748978584,0.8957305164608511,2086.693776214278,4
7,16472169.03839497,12107.810591732243,9972.007073147455,95.50894221301672,0.33031353906154026,0.8236011785612826,2896.621528896089,4
8,21757435.20875301,14033.761590574712,11791.739233410513,64.12619131662268,0.335870803979425,0.8402408119381211,3492.187109583511,4
9,18196585.637107946,15752.26954996141,12301.762267360751,127.60043421076362,0.30660730558428073,0.7809517370397517,4117.476767850003,4
10,14223034.557138074,13154.376714553073,10265.124317963708,396.6457305069084,0.29180379786994465,0.7803580922695561,4924.508862966604,5
