仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,2930685.0515062422,463.06139620212025,360.34319908113025,1.3154766064170986,0.6022115662369344,0.7781758575354123,135.35864891347626,3
2,1729693.1762936637,281.8110817990718,195.89109318525263,8.032222725705811,0.6143507933416681,0.6951149398905498,64.0803158714927,2
3,1721417.7024414479,221.01158287994986,184.63865134126675,4.541033065420142,0.6660268661305926,0.8354252249374625,45.18220225019232,2
4,1417736.7990131758,157.5263610485638,141.92201264881575,3.6178276063459496,0.6512150862335655,0.9009413516831167,30.829615849390372,2
5,2759081.4117536484,360.94590780036594,304.85359832467316,0,0.6605787850041142,0.8445963556768826,74.61044743434223,2
