仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,12765814.421781363,6417.7635918563465,5164.476672793662,629.2910315478814,0.7362239635527936,0.8047159417568747,571.3079689123682,8
2,11134351.846720586,15972.883916594332,8452.955890435125,4156.714674680501,0.5022677059593648,0.5292066188281312,1734.3762932707616,7
3,7685413.201750554,5104.797720619612,3803.456252656293,661.3225956418324,0.6295069120930329,0.7450748219254878,562.9774949916517,9
4,3968234.1835661447,1835.196150714752,1322.7460069854287,185.00687777077474,0.7508295353648623,0.7207654650268638,156.0029738621365,8
5,17589128.821591754,12290.977642402679,9413.227257311555,1340.269537383324,0.6074243203280074,0.7658648100405647,1025.0494120604164,7
6,13065266.833202342,9237.24615882446,7046.601483255092,1364.5686386864231,0.6182507662573398,0.7628465629362255,1042.1183500016307,9
7,9385974.392096316,12107.810591732243,7553.161289958379,2514.3547254020923,0.5023693881397382,0.6238255242542378,1528.328273684155,8
8,17404209.808987446,14033.761590574712,10171.661149236847,1684.2042754902916,0.5637760142290345,0.7247993407603767,1625.1765083356463,9
9,11758118.28932395,15752.26954996141,9621.83899276848,2807.5237088030335,0.4519429532429687,0.610822393703392,2056.528965432534,9
10,3952444.1589494683,13154.376714553073,5359.348264144475,5302.421784326141,0.43005728311675534,0.40741939967518725,1189.1340701615673,6
