仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,14741939.893643253,6417.7635918563465,5665.249881286268,102.81425844422075,0.5574135732446753,0.8827451806537465,959.6433028153831,5
2,20129079.486772634,15972.883916594332,12194.341851432364,332.26297094660765,0.39949817818121763,0.763440209990106,3318.913184310714,5
3,9569122.036163358,5104.797720619612,4390.5909627212595,59.350308461493015,0.47555625403771234,0.8600910756926793,795.5115356823632,5
4,4345133.952161066,1835.196150714752,1469.6687464729268,30.467310626621305,0.5441456775649158,0.8008237952659918,285.909426957835,5
5,21655948.566198334,12290.977642402679,10351.630930699583,321.49269119623733,0.470551006048065,0.8422137955069955,1567.778011523873,4
