仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,2920056.6812150553,463.06139620212025,361.98754483915167,0,0.5008370379773944,0.781726889367277,165.0463635585749,2
2,1721740.3874157406,281.8110817990718,195.32712114334936,10.60425044903554,0.510763095006251,0.6931136983556078,72.4386179416874,1
3,1710562.2529427148,221.01158287994986,184.63865134126675,5.676291331775177,0.5072654013759739,0.8354252249374625,49.58266364904507,1
4,1425632.3183045213,157.5263610485638,141.92201264881575,4.5222845079324365,0.5454256368061612,0.9009413516831167,33.832225897822084,1
5,2782794.9112093495,360.94590780036594,304.85359832467316,0,0.5271930776691299,0.8445963556768826,81.8770342215004,1
