仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,1822503.077324361,463.06139620212025,276.1820974918504,85.8054473473012,0.7554091484149709,0.5964265208825582,67.60757839553321,4
2,1392494.1791246044,281.8110817990718,170.6165838039802,35.31478778840469,0.7791604112156804,0.6054289374100198,36.474551110396554,3
3,1333660.9165398236,221.01158287994986,159.79114079852687,30.523801874515048,0.8862190071272613,0.7229989429346922,26.577438059894845,3
4,1223203.3824382257,157.5263610485638,132.6357431264128,13.80855403033537,0.926199160793211,0.8419907769311227,18.70642425052971,4
5,2135201.238454633,360.94590780036594,268.00421731647896,36.84938100819426,0.8614675966891255,0.7425052106830043,55.13351819454994,5
