仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,27276956.625377182,75332.10663369308,56275.574073195465,8964.88240208319,0.5060569257747767,0.747033059182041,6607.307486495774,11
2,-8313972.407024011,1995700.9618131276,745302.190248757,922445.2439579803,0.2859449554560428,0.3734538412867415,177122.3003912681,8
3,24222786.662674498,91015.47568958288,62199.82456291964,12017.146487124464,0.4282744334730167,0.6833983351914589,7658.929969855139,8
4,10446458.118193002,37985.840929043276,28539.400221952343,4405.771473122187,0.44210734680801594,0.751316793940756,3149.715747225219,10
5,46916427.86971615,140645.97383909964,100375.21669091239,20799.066508471944,0.5073688778216097,0.7136728763081595,14143.051755938848,14
6,28838824.17182308,74996.9821698249,52367.389590910796,12731.971108292717,0.5567992982321439,0.6982599576117459,6173.007423675048,12
7,54579842.163086675,274837.9167225102,183041.2332252834,48657.45130044055,0.44005976755373866,0.6659970189269436,33621.888008824695,12
8,69210724.96223083,730529.6998546993,379916.24786780885,190659.41584155988,0.3397678468511697,0.5200558552833284,87480.0876379297,10
9,187603785.71016574,1360293.428821783,928734.5348243058,214554.38722021546,0.3609817847816871,0.6827457334912868,149525.31573000722,11
10,85419115.60600181,527247.6512557274,372591.87162255624,83318.75136220574,0.3844066349715227,0.7066733644714531,66351.60961409603,12
