仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,12765814.421781363,6417.7635918563465,5164.476672793662,629.2910315478814,0.7362239635527936,0.8047159417568747,571.3079689123682,8
2,11134351.846720586,15972.883916594332,8452.955890435125,4156.714674680501,0.5022677059593648,0.5292066188281312,1734.3762932707616,7
3,7685413.201750554,5104.797720619612,3803.456252656293,661.3225956418324,0.6295069120930329,0.7450748219254878,562.9774949916517,9
4,3968234.1835661447,1835.196150714752,1322.7460069854287,185.00687777077474,0.7508295353648623,0.7207654650268638,156.0029738621365,8
5,17589128.821591754,12290.977642402679,9413.227257311555,1340.269537383324,0.6074243203280074,0.7658648100405647,1025.0494120604164,7
