仿真序号,NPV,总需求,总产量,地球补给,平均利用率,自给自足率,最终产能,产能扩张次数
1,27276956.625377182,75332.10663369308,56275.574073195465,8964.88240208319,0.5060569257747767,0.747033059182041,6607.307486495774,11
2,-8313972.407024011,1995700.9618131276,745302.190248757,922445.2439579803,0.2859449554560428,0.3734538412867415,177122.3003912681,8
3,24222786.662674498,91015.47568958288,62199.82456291964,12017.146487124464,0.4282744334730167,0.6833983351914589,7658.929969855139,8
4,10446458.118193002,37985.840929043276,28539.400221952343,4405.771473122187,0.44210734680801594,0.751316793940756,3149.715747225219,10
5,46916427.86971615,140645.97383909964,100375.21669091239,20799.066508471944,0.5073688778216097,0.7136728763081595,14143.051755938848,14
6,28838824.17182308,74996.9821698249,52367.389590910796,12731.971108292717,0.5567992982321439,0.6982599576117459,6173.007423675048,12
7,54579842.163086675,274837.9167225102,183041.2332252834,48657.45130044055,0.44005976755373866,0.6659970189269436,33621.888008824695,12
8,69210724.96223083,730529.6998546993,379916.24786780885,190659.41584155988,0.3397678468511697,0.5200558552833284,87480.0876379297,10
9,187603785.71016574,1360293.428821783,928734.5348243058,214554.38722021546,0.3609817847816871,0.6827457334912868,149525.31573000722,11
10,85419115.60600181,527247.6512557274,372591.87162255624,83318.75136220574,0.3844066349715227,0.7066733644714531,66351.60961409603,12
11,68192005.63972501,1855285.7063247452,826282.6158405861,764718.566647074,0.31673990737857416,0.44536677721590523,153355.53358578525,8
12,81967874.81977977,419261.50256483327,272245.92406833026,78036.93275538812,0.4388436466509155,0.6493463444720423,43420.99747989664,12
13,7812769.7776836725,73989.88870239542,34690.50545868675,20345.364484471604,0.32330757333973975,0.4688546782144794,7867.544582913565,9
14,60166868.71040125,424011.9791232375,264876.96397895756,94320.12947277288,0.39492899769907835,0.6246921714963437,51033.9101301848,11
15,56014457.733231924,279087.8579341326,175645.04370128273,62190.94504746994,0.44189569731634976,0.6293539425234924,33475.75161649496,11
16,58570178.09594763,485404.8374469368,302880.34478482197,106072.48823849556,0.3617852500082141,0.6239747143392077,56468.57184491356,11
17,16194865.35100763,127001.50148571211,74735.69026679716,21498.339252180944,0.31653325428217527,0.5884630448656943,17129.895423236576,10
18,14000695.497234542,100741.03927633211,58532.52846870902,23158.921274484826,0.3819254550680035,0.5810197005031347,11577.553684964547,9
19,24425484.246146183,620933.3709592373,298909.68848621624,258720.8909954155,0.32939867392932726,0.4813877019114807,56752.392964642924,9
20,25977951.719014715,76943.93860532716,58966.50528521598,10436.048088854594,0.5331143559092182,0.7663567313297565,5343.552797711534,12
21,13885967.899272053,66683.1367099033,37023.636142700416,18047.756610936252,0.43885077744028556,0.5552173753278455,6829.280488175408,9
22,33312305.072563477,265063.5692135951,142014.02215786956,68669.59398271816,0.382326668005919,0.53577344702331,28930.522609190455,10
23,8665495.422649244,36245.7887003066,22937.679068515117,7437.38113795081,0.42561455427988176,0.6328370795893618,4620.415684893939,11
24,22653418.23526213,137556.66221901352,79859.00021016732,29297.44935311839,0.4035329737248183,0.580553489172471,15554.498373891895,12
25,117789609.01810922,716435.6582513604,433774.566645534,134154.01153327187,0.3936929821201923,0.605462000180545,71394.25530836007,9
26,14686998.521413501,49486.54218322123,32956.46178894165,8004.113864424941,0.4747700375416126,0.6659681670002754,5179.14976258784,12
27,120087420.3600513,1597370.4136649363,778916.5696349227,526584.3913545638,0.3607663923251427,0.4876242623323734,171774.0187558386,9
28,19851786.100122925,40687.72268656167,30779.58099024435,5545.040257110581,0.5883636712673954,0.7564832573047944,3346.3233097007997,10
29,9762149.83263743,39831.67325403205,21457.53744523093,11941.250696923344,0.48211024318717116,0.5387053993032753,3349.453366438097,11
30,20591312.110778112,288227.7592209207,153085.53780520134,90506.95537109037,0.33533941614695,0.5311269747889356,30501.8559355813,9
31,62969735.21538417,522510.5353537273,327048.82585270103,132730.10970581227,0.4021325675481225,0.6259181465715264,45997.61864935998,9
32,107067622.32008128,714989.5465072924,460570.8704326801,135334.299429155,0.3848011457833595,0.6441644814005439,85475.96920140776,11
33,126577831.51470654,1232687.4703043643,697035.2509141846,333059.86100571766,0.36665032158573413,0.5654598328496669,132312.89469689777,9
34,51160312.19346104,3235736.5300607197,1570754.1743932732,1410069.3541484827,0.3010130614558016,0.48543945398539523,312187.1779231725,9
35,100451744.82490206,2508373.292970954,975504.8837306289,908036.944015264,0.32036280688421104,0.3888994060270936,206226.30182618232,8
36,16908989.946959402,52114.5929913642,35701.84399265381,8647.70541782946,0.5081712157311504,0.6850642390811704,6165.223028344761,11
37,77574655.11815041,1322378.1156064037,662038.4224694233,475752.8306550629,0.33826224542921457,0.5006423009093975,128908.64506714727,9
38,45270059.711000435,447587.61328191805,229497.19779030632,120945.89425131382,0.3453188065946646,0.512742513376381,49329.39828509174,10
39,35148536.61908166,1121219.5169193852,454848.69144510664,450671.5345012565,0.2978083190584324,0.4056731840476961,105469.08585164623,8
40,7319654.070679671,37023.90554816659,20150.986693612027,11572.050162122801,0.4430639235994141,0.5442696116269099,4073.1803912620676,10
41,284441818.23555434,1620708.8760275876,1184310.7410474676,261668.04763046207,0.4079219903738217,0.7307362590314513,187623.60633737795,11
42,75602928.33161458,513273.6309222907,359769.2472465683,91936.86775480439,0.361998067466839,0.7009307035705428,65473.47991755797,11
